variable,value,label
pphhcomp11_member9_relationship,3,"child (biological, adopted, or stepchild)"
pphhcomp11_member9_relationship,4,grandchild
pphhcomp11_member9_relationship,5,parent
pphhcomp11_member9_relationship,6,sibling
pphhcomp11_member9_relationship,7,other relative
pphhcomp11_member9_relationship,8,unmarried partner
pphhcomp11_member9_relationship,9,housemate/roommate
pphhcomp11_member9_relationship,10,other non-relative
pphhcomp11_member10_relationship,-1,please select
pphhcomp11_member10_relationship,2,spouse
pphhcomp11_member10_relationship,3,"child (biological, adopted, or stepchild)"
pphhcomp11_member10_relationship,4,grandchild
pphhcomp11_member10_relationship,5,parent
pphhcomp11_member10_relationship,6,sibling
pphhcomp11_member10_relationship,7,other relative
pphhcomp11_member10_relationship,8,unmarried partner
pphhcomp11_member10_relationship,9,housemate/roommate
pphhcomp11_member10_relationship,10,other non-relative
pphhcomp11_member11_relationship,-1,please select
pphhcomp11_member11_relationship,2,spouse
pphhcomp11_member11_relationship,3,"child (biological, adopted, or stepchild)"
pphhcomp11_member11_relationship,4,grandchild
pphhcomp11_member11_relationship,5,parent
pphhcomp11_member11_relationship,6,sibling
pphhcomp11_member11_relationship,7,other relative
pphhcomp11_member11_relationship,8,unmarried partner
pphhcomp11_member11_relationship,9,housemate/roommate
pphhcomp11_member11_relationship,10,other non-relative
pphhcomp11_member12_relationship,-1,please select
pphhcomp11_member12_relationship,2,spouse
pphhcomp11_member12_relationship,3,"child (biological, adopted, or stepchild)"
pphhcomp11_member12_relationship,4,grandchild
pphhcomp11_member12_relationship,5,parent
pphhcomp11_member12_relationship,6,sibling
pphhcomp11_member12_relationship,7,other relative
pphhcomp11_member12_relationship,8,unmarried partner
pphhcomp11_member12_relationship,9,housemate/roommate
pphhcomp11_member12_relationship,10,other non-relative
pphhcomp11_member13_relationship,-1,please select
pphhcomp11_member13_relationship,2,spouse
pphhcomp11_member13_relationship,3,"child (biological, adopted, or stepchild)"
pphhcomp11_member13_relationship,4,grandchild
pphhcomp11_member13_relationship,5,parent
pphhcomp11_member13_relationship,6,sibling
pphhcomp11_member13_relationship,7,other relative
pphhcomp11_member13_relationship,8,unmarried partner
pphhcomp11_member13_relationship,9,housemate/roommate
pphhcomp11_member13_relationship,10,other non-relative
pphhcomp11_member14_relationship,-1,please select
pphhcomp11_member14_relationship,2,spouse
pphhcomp11_member14_relationship,3,"child (biological, adopted, or stepchild)"
pphhcomp11_member14_relationship,4,grandchild
pphhcomp11_member14_relationship,5,parent
pphhcomp11_member14_relationship,6,sibling
pphhcomp11_member14_relationship,7,other relative
pphhcomp11_member14_relationship,8,unmarried partner
pphhcomp11_member14_relationship,9,housemate/roommate
pphhcomp11_member14_relationship,10,other non-relative
pphhcomp11_member15_relationship,-1,please select
pphhcomp11_member15_relationship,2,spouse
pphhcomp11_member15_relationship,3,"child (biological, adopted, or stepchild)"
pphhcomp11_member15_relationship,4,grandchild
pphhcomp11_member15_relationship,5,parent
pphhcomp11_member15_relationship,6,sibling
pphhcomp11_member15_relationship,7,other relative
pphhcomp11_member15_relationship,8,unmarried partner
pphhcomp11_member15_relationship,9,housemate/roommate
pphhcomp11_member15_relationship,10,other non-relative
irb_consent,-1,refused
irb_consent,1,"yes, i agree to participate"
irb_consent,2,"no, i don't agree to participate"
qflag,1,partnered
qflag,2,no spouse or partner or otherwise unqualified
glbstatus,0,not glb
glbstatus,1,glb
papglb_status,-2,not asked
papglb_status,-1,refused
papglb_status,1,yes
papglb_status,2,no
papglb_status,3,i would prefer to not answer this question
recsource,1,gen pop sample
recsource,2,glb augment sample
recsource,3,glb withdrawn sample
recsource,4,glb item refused sample
s1,-1,refused
s1,1,"yes, i am married"
s1,2,"no, i am not married"
s1a,-1,refused
s1a,1,yes
s1a,2,no
s1a,3,i would prefer not to answer this question
s2,-1,refused
s2,1,"yes, i have a sexual partner (boyfriend or girlfriend)"
s2,2,i have a romantic partner who is not yet a sexual partner
s2,3,"no, i am single, with no boyfriend, no girlfriend and no romantic or sexual partner"
q3_codes,-1,refused
q4,-1,refused
q4,1,male
q4,2,female
q4,3,"other, please specify"
q5,-1,refused
q5,1,"yes, we are a same-sex couple"
q5,2,"no, we are an opposite-sex couple"
q6a,-1,refused
q6a,1,no (not latino or hispanic)
q6a,2,"yes, mexican, mexican american, chicano"
q6a,3,"yes, puerto rican"
q6a,4,"yes, cuban"
q6a,5,"yes, other latino/hispanic"
q6b,-1,refused
q6b,1,white
q6b,2,black or african american
q6b,3,"american indian, aleut, or eskimo"
q6b,4,asian or pacific islander
q6b,5,other (please specify)
q7a,-1,refused
q7a,1,yes
q7a,2,no
q7b,-1,refused
q7b,1,baptist - any denomination
q7b,2,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)"
q7b,3,catholic
q7b,4,mormon
q7b,5,jewish
q7b,6,muslim
q7b,7,hindu
q7b,8,buddhist
q7b,9,pentecostal
q7b,10,eastern orthodox
q7b,11,other christian
q7b,12,"other non-christian, please specify"
q7b,13,none
q8a,-1,refused
q8a,1,"yes, the same"
q8a,2,"no, has changed religions"
q8b,-1,refused
q8b,1,baptist - any denomination
q8b,2,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)"
q8b,3,catholic
q8b,4,mormon
q8b,5,jewish
q8b,6,muslim
q8b,7,hindu
q8b,8,buddhist
q8b,9,pentecostal
q8b,10,eastern orthodox
q8b,11,other christian
q8b,12,"other non-christian, please specify"
q8b,13,none
q10,-1,refused
q10,1,no formal education
q10,2,1st - 4th grade
q10,3,5th or 6th grade
q10,4,7th or 8th grade
q10,5,9th grade
q10,6,10th grade
q10,7,11th grade
q10,8,12th grade no diploma
q10,9,hs graduate or ged
q10,10,"some college, no degree"
q10,11,associate degree
q10,12,bachelor's degree
q10,13,master's degree
q10,14,professional or doctorate degree
q11,-1,refused
q11,1,no formal education
q11,2,1st - 4th grade
q11,3,5th or 6th grade
q11,4,7th or 8th grade
q11,5,9th grade
q11,6,10th grade
q11,7,11th grade
q11,8,12th grade no diploma
q11,9,hs graduate or ged
q11,10,"some college, no degree"
q11,11,associate degree
q11,12,bachelor's degree
q11,13,master's degree
q11,14,professional or doctorate degree
q12,-1,refused
q12,1,republican
q12,2,democrat
q12,3,independent
q12,4,"another party, please specify"
q12,5,no preference
q13a,-1,refused
q13a,1,"yes, the same"
q13a,2,"no, i have changed religions"
q13b,-1,refused
q13b,1,baptist - any denomination
q13b,2,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)"
q13b,3,catholic
q13b,4,mormon
q13b,5,jewish
q13b,6,muslim
q13b,7,hindu
q13b,8,buddhist
q13b,9,pentecostal
q13b,10,eastern orthodox
q13b,11,other christian
q13b,12,"other non-christian, please specify"
q13b,13,none
q14,-1,refused
q14,1,no formal education
q14,2,1st - 4th grade
q14,3,5th or 6th grade
q14,4,7th or 8th grade
q14,5,9th grade
q14,6,10th grade
q14,7,11th grade
q14,8,12th grade no diploma
q14,9,hs graduate or ged
q14,10,"some college, no degree"
q14,11,associate degree
q14,12,bachelor's degree
q14,13,master's degree
q14,14,professional or doctorate degree
q15a1_compressed,-1,refused
q15a1_compressed,1,United States
q15a1_compressed,2,all others
q16,-1,refused
q17a,-1,refused
q17a,1,once (this is my first marriage)
q17a,2,twice
q17a,3,three times
q17a,4,four or more times
q17b,-1,refused
q17b,1,never married
q17b,2,once
q17b,3,twice
q17b,4,three times
q17b,5,four or more times
q17c,-1,refused
q17c,1,i am sexually attracted only to men
q17c,2,"i am mostly sexually attracted to men, less often sexually attracted to women"
q17c,3,i am equally sexually attracted to men and women
q17c,4,"i am mostly sexually attracted to women, less often sexually attracted to men"
q17c,5,i am sexually attracted only to women
q17d,-1,refused
q17d,1,i am sexually attracted only to women
q17d,2,"i am mostly sexually attracted to women, less often sexually attracted to men"
q17d,3,i am equally sexually attracted to men and women
q17d,4,"i am mostly sexually attracted to men, less often sexually attracted to women"
q17d,5,i am sexually attracted only to men
gender_attraction,1,opposite gender only
gender_attraction,2,mostly opposite
gender_attraction,3,both genders equally
gender_attraction,4,same gender mostly
gender_attraction,5,only same gender
q18a_1,-1,refused
q18a_1,0,no
q18a_1,1,yes
q18a_2,-1,refused
q18a_2,0,no
q18a_2,1,yes
q18a_3,-1,refused
q18a_3,0,have either DP or CU
q18a_3,1,have neither DP nor CU
q18a_refused,0,no
q18a_refused,1,yes
q18b_codes,-1,refused
q18c_codes,-1,refused
q19,-1,refused
q19,1,yes
q19,2,no
q20,-1,refused
q20,1,yes
q20,2,no
q21a_refusal,1,refused
q21b_refusal,1,refused
q21c_refusal,1,refused
q21d_refusal,1,refused
q21e_refusal,1,refused
q22,-1,refused
q22,1,less than one month
q22,2,1-3 months
q22,3,4-6 months
q22,4,7 months - 1 year
q22,5,"more than 1 year, less than 2 years"
q22,6,"more than 2 years, less than 3 years"
q22,7,3 years or more
q23,-1,refused
q23,1,i earned more
q23,2,we earned about the same amount
q23,3,partner earned more
q24_codes,-1,refused
q24_codes,1,answered but refused to provide information
q25,-1,refused
q25,1,same high school
q25,2,different high school
q26,-1,refused
q26,1,attended same college or university
q26,2,did not attend same college or university
q27,-1,refused
q27,1,yes
q27,2,no
q28,-1,refused
q28,1,yes
q28,2,no
q29,-1,refused
q29,1,father and mother
q29,2,father only
q29,3,mother only
q29,4,neither father nor mother are alive
q30,-1,refused
q30,1,approve
q30,2,neither approve nor disapprove
q30,3,disapprove
q30,4,do not know
q31_1,-1,refused
q31_1,0,no
q31_1,1,yes
q31_2,-1,refused
q31_2,0,no
q31_2,1,yes
q31_3,-1,refused
q31_3,0,no
q31_3,1,yes
q31_4,-1,refused
q31_4,0,no
q31_4,1,yes
q31_5,-1,refused
q31_5,0,no
q31_5,1,yes
q31_6,-1,refused
q31_6,0,no
q31_6,1,yes
q31_7,-1,refused
q31_7,0,no
q31_7,1,yes
q31_8,-1,refused
q31_8,0,no
q31_8,1,yes
q31_9,-1,refused
q31_9,0,no
q31_9,1,yes
q31_other_text_entered,0,No
q31_other_text_entered,1,Yes
q32,-1,refused
q32,1,"yes, a social networking site (like facebook or myspace)"
q32,2,"no, we did not meet through the internet"
q32,3,"yes, an internet dating or matchmaking site (like eharmony or match.com)"
q32,4,"yes, an internet classified advertising site (like craigslist)"
q32,5,"yes, an internet chat room"
q32,6,"yes, a different kind of internet service"
q33_1,-1,refused
q33_1,0,no
q33_1,1,yes
q33_2,-1,refused
q33_2,0,no
q33_2,1,yes
q33_3,-1,refused
q33_3,0,no
q33_3,1,yes
q33_4,-1,refused
q33_4,0,no
q33_4,1,yes
q33_5,-1,refused
q33_5,0,no
q33_5,1,yes
q33_6,-1,refused
q33_6,0,no
q33_6,1,yes
q33_7,-1,refused
q33_7,0,no
q33_7,1,yes
q33_other_text_entered,0,No
q33_other_text_entered,1,Yes
q34,-1,refused
q34,1,excellent
q34,2,good
q34,3,fair
q34,4,poor
q34,5,very poor
q35_codes,-1,refused
q35_text_entered,0,No
q35_text_entered,1,Yes
q24_met_online,0,met offline
q24_met_online,1,met online
q24_R_cowork,0,No
q24_R_cowork,1,Yes
q24_R_friend,0,No
q24_R_friend,1,Yes
q24_R_family,0,No
q24_R_family,1,Yes
q24_R_sig_other,0,No
q24_R_sig_other,1,Yes
q24_R_neighbor,0,No
q24_R_neighbor,1,Yes
q24_P_cowork,0,No
q24_P_cowork,1,Yes
q24_P_friend,0,No
q24_P_friend,1,Yes
q24_P_family,0,No
q24_P_family,1,Yes
q24_P_sig_other,0,No
q24_P_sig_other,1,Yes
q24_P_neighbor,0,No
q24_P_neighbor,1,Yes
q24_btwn_I_cowork,0,No
q24_btwn_I_cowork,1,Yes
q24_btwn_I_friend,0,No
q24_btwn_I_friend,1,Yes
q24_btwn_I_family,0,No
q24_btwn_I_family,1,Yes
q24_btwn_I_sig_other,0,No
q24_btwn_I_sig_other,1,Yes
q24_btwn_I_neighbor,0,No
q24_btwn_I_neighbor,1,Yes
q24_school,0,No
q24_school,1,Yes
q24_college,0,No
q24_college,1,Yes
q24_military,0,No
q24_military,1,Yes
q24_church,0,No
q24_church,1,Yes
q24_vol_org,0,No
q24_vol_org,1,Yes
q24_customer,0,No
q24_customer,1,Yes
q24_bar_restaurant,0,No
q24_bar_restaurant,1,Yes
q24_internet_dating,0,No
q24_internet_dating,1,Yes
q24_internet_social_networking,0,No
q24_internet_social_networking,1,Yes
q24_internet_game,0,No
q24_internet_game,1,Yes
q24_internet_chat,0,No
q24_internet_chat,1,Yes
q24_internet_community,0,No
q24_internet_community,1,Yes
q24_internet_other,0,No
q24_internet_other,1,Yes
q24_public,0,No
q24_public,1,Yes
q24_private_party,0,No
q24_private_party,1,Yes
q24_blind_date,0,No
q24_blind_date,1,Yes
q24_vacation,0,No
q24_vacation,1,Yes
q24_singles_service_non_internet,0,No
q24_singles_service_non_internet,1,Yes
q24_business_trip,0,No
q24_business_trip,1,Yes
q24_work_neighbor,0,No
q24_work_neighbor,1,Yes
q24_fam_sister_active,0,No
q24_fam_sister_active,1,Yes
q24_fam_brother_active,0,No
q24_fam_brother_active,1,Yes
q24_fam_mother_active,0,No
q24_fam_mother_active,1,Yes
q24_fam_father_active,0,No
q24_fam_father_active,1,Yes
q24_fam_other_active,0,No
q24_fam_other_active,1,Yes
q24_fam_cousins_active,0,No
q24_fam_cousins_active,1,Yes
q24_fam_aunt_niece_active,0,No
q24_fam_aunt_niece_active,1,Yes
q24_fam_uncle_nephew_active,0,No
q24_fam_uncle_nephew_active,1,Yes
q24_fam_grandmother_active,0,No
q24_fam_grandmother_active,1,Yes
q24_fam_grandfather_active,0,No
q24_fam_grandfather_active,1,Yes
q24_fam_sister_passive,0,No
q24_fam_sister_passive,1,Yes
q24_fam_brother_passive,0,No
q24_fam_brother_passive,1,Yes
q24_fam_mother_passive,0,No
q24_fam_mother_passive,1,Yes
q24_fam_father_passive,0,No
q24_fam_father_passive,1,Yes
q24_fam_other_passive,0,No
q24_fam_other_passive,1,Yes
q24_fam_cousins_passive,0,No
q24_fam_cousins_passive,1,Yes
q24_fam_aunt_niece_passive,0,No
q24_fam_aunt_niece_passive,1,Yes
q24_fam_uncle_nephew_passive,0,No
q24_fam_uncle_nephew_passive,1,Yes
q24_fam_grandmother_passive,0,No
q24_fam_grandmother_passive,1,Yes
q24_fam_grandfather_passive,0,No
q24_fam_grandfather_passive,1,Yes
q24_fam_female,0,No
q24_fam_female,1,Yes
q24_fam_male,0,No
q24_fam_male,1,Yes
marrynotreally,0,married
marrynotreally,1,not legally married
civilnotreally,0,real civ union or dom partnership
civilnotreally,1,perhaps not real civ union or dom partnership
partner_deceased,0,not deceased
partner_deceased,1,apparently deceased
partner_religion_reclassified,-1,refused
partner_religion_reclassified,1,baptist - any denomination
partner_religion_reclassified,2,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)"
partner_religion_reclassified,3,catholic
partner_religion_reclassified,4,mormon
partner_religion_reclassified,5,jewish
partner_religion_reclassified,6,muslim
partner_religion_reclassified,7,hindu
partner_religion_reclassified,8,buddhist
partner_religion_reclassified,9,pentecostal
partner_religion_reclassified,10,eastern orthodox
partner_religion_reclassified,11,other christian
partner_religion_reclassified,12,"other non-christian, please specify"
partner_religion_reclassified,13,none
partner_religion_child_reclass,-1,refused
partner_religion_child_reclass,1,baptist - any denomination
partner_religion_child_reclass,2,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)"
partner_religion_child_reclass,3,catholic
partner_religion_child_reclass,4,mormon
partner_religion_child_reclass,5,jewish
partner_religion_child_reclass,6,muslim
partner_religion_child_reclass,7,hindu
partner_religion_child_reclass,8,buddhist
partner_religion_child_reclass,9,pentecostal
partner_religion_child_reclass,10,eastern orthodox
partner_religion_child_reclass,11,other christian
